Instância,BFS Movimentos,BFS Tempo (s),BFS Memória (KB),DFS Movimentos,DFS Tempo (s),DFS Memória (KB),Gulosa Movimentos,Gulosa Tempo (s),Gulosa Memória (KB),A* Movimentos,A* Tempo (s),A* Memória (KB)
1,2,0.0,2.25,44,0.12201,1380.51,2,0.0,0.89,2,0.0,1.02
2,4,0.0,6.13,50,0.078995,981.57,4,0.0,1.09,4,0.0,1.42
3,6,0.001001,27.72,50,0.135609,1459.68,6,0.0,1.96,6,0.0,2.4
4,8,0.003049,49.41,44,0.111675,1157.73,8,0.001011,5.45,8,0.0,3.11
5,6,0.0,9.9,48,0.088905,1067.45,6,0.0,1.95,6,0.001001,1.95
6,6,0.001001,21.73,48,0.064664,977.06,6,0.0,1.96,6,0.0,2.88
7,8,0.003003,37.02,8,1.011807,10221.75,8,0.0,2.34,8,0.0,3.41
8,3,0.001019,3.08,49,0.07803,1001.25,3,0.0,0.98,3,0.0,0.98
9,13,0.029504,885.3,47,1.090768,14546.56,13,0.0,3.64,13,0.001014,6.73
10,13,0.039129,1131.92,-1,1.464971,16311.31,37,0.009099,109.6,13,0.001008,14.6
