arquivo,objetivo,crossover,mutacao,valor,geracoes,tempo
function_opt_1.csv,min,ponto_um,0.01,-150.55747593082128,100,0.0303
function_opt_1.csv,min,ponto_um,0.05,-237.48169750527802,100,0.0301
function_opt_1.csv,min,ponto_um,0.1,-300.72220567774747,100,0.0306
function_opt_1.csv,min,dois_pontos,0.01,-196.0833047753202,100,0.0346
function_opt_1.csv,min,dois_pontos,0.05,-246.6822987414892,100,0.0341
function_opt_1.csv,min,dois_pontos,0.1,-269.8512992601288,100,0.0386
function_opt_1.csv,min,uniforme,0.01,-176.5563453722436,100,0.0284
function_opt_1.csv,min,uniforme,0.05,-242.71865957593735,100,0.0296
function_opt_1.csv,min,uniforme,0.1,-287.9017298813492,100,0.0286
function_opt_1.csv,max,ponto_um,0.01,186.45536127732677,100,0.0305
function_opt_1.csv,max,ponto_um,0.05,295.7600445147567,100,0.0301
function_opt_1.csv,max,ponto_um,0.1,309.57647188332066,100,0.0303
function_opt_1.csv,max,dois_pontos,0.01,107.99048978624316,14,0.0051
function_opt_1.csv,max,dois_pontos,0.05,268.26852927580546,100,0.0336
function_opt_1.csv,max,dois_pontos,0.1,308.1463135049182,100,0.0347
function_opt_1.csv,max,uniforme,0.01,176.61116970741696,100,0.0296
function_opt_1.csv,max,uniforme,0.05,262.41153851609204,100,0.0283
function_opt_1.csv,max,uniforme,0.1,317.8571016240504,100,0.0288
function_opt_10.csv,min,ponto_um,0.01,-573.4586290821442,100,0.0427
function_opt_10.csv,min,ponto_um,0.05,-770.5928568444098,100,0.042
function_opt_10.csv,min,ponto_um,0.1,-920.6833881344468,100,0.0443
function_opt_10.csv,min,dois_pontos,0.01,-549.4308710368102,100,0.0479
function_opt_10.csv,min,dois_pontos,0.05,-693.5518908107182,100,0.0483
function_opt_10.csv,min,dois_pontos,0.1,-887.4436950868924,100,0.0488
function_opt_10.csv,min,uniforme,0.01,-590.4001299028613,100,0.0432
function_opt_10.csv,min,uniforme,0.05,-795.9372336520709,100,0.0438
function_opt_10.csv,min,uniforme,0.1,-903.4436803000835,100,0.0459
function_opt_10.csv,max,ponto_um,0.01,557.660802415316,100,0.0417
function_opt_10.csv,max,ponto_um,0.05,770.0980322550779,100,0.0426
function_opt_10.csv,max,ponto_um,0.1,879.7213103915078,100,0.0444
function_opt_10.csv,max,dois_pontos,0.01,635.6277172412285,100,0.0469
function_opt_10.csv,max,dois_pontos,0.05,766.6386814602697,100,0.0482
function_opt_10.csv,max,dois_pontos,0.1,870.6399844450691,100,0.0487
function_opt_10.csv,max,uniforme,0.01,648.2065328329293,100,0.0432
function_opt_10.csv,max,uniforme,0.05,791.4007349055013,100,0.0447
function_opt_10.csv,max,uniforme,0.1,948.6528087849131,100,0.0463
function_opt_2.csv,min,ponto_um,0.01,-65.28179863162393,100,0.0315
function_opt_2.csv,min,ponto_um,0.05,-80.2019492409686,100,0.032
function_opt_2.csv,min,ponto_um,0.1,-97.69733826243188,100,0.032
function_opt_2.csv,min,dois_pontos,0.01,-56.27360232712498,100,0.0366
function_opt_2.csv,min,dois_pontos,0.05,-84.33212840009571,100,0.0356
function_opt_2.csv,min,dois_pontos,0.1,-97.83268177195507,100,0.0371
function_opt_2.csv,min,uniforme,0.01,-59.162851012424625,100,0.0324
function_opt_2.csv,min,uniforme,0.05,-87.80358278744663,100,0.0357
function_opt_2.csv,min,uniforme,0.1,-101.01369883962333,100,0.0394
function_opt_2.csv,max,ponto_um,0.01,57.851833790447174,100,0.032
function_opt_2.csv,max,ponto_um,0.05,84.86821298348403,100,0.0315
function_opt_2.csv,max,ponto_um,0.1,106.31571881740052,100,0.0311
function_opt_2.csv,max,dois_pontos,0.01,55.30724623061582,100,0.0422
function_opt_2.csv,max,dois_pontos,0.05,88.7720540528013,100,0.0389
function_opt_2.csv,max,dois_pontos,0.1,109.38833761855562,100,0.0373
function_opt_2.csv,max,uniforme,0.01,52.09706782480795,100,0.0317
function_opt_2.csv,max,uniforme,0.05,86.3989922712278,100,0.0303
function_opt_2.csv,max,uniforme,0.1,105.84008699070424,100,0.0305
function_opt_3.csv,min,ponto_um,0.01,-259.815831901742,100,0.0327
function_opt_3.csv,min,ponto_um,0.05,-353.489961228204,100,0.0319
function_opt_3.csv,min,ponto_um,0.1,-390.74504758492265,100,0.0333
function_opt_3.csv,min,dois_pontos,0.01,-290.3354505308419,100,0.0365
function_opt_3.csv,min,dois_pontos,0.05,-333.1589867817436,100,0.0371
function_opt_3.csv,min,dois_pontos,0.1,-396.489721031782,100,0.0376
function_opt_3.csv,min,uniforme,0.01,-258.530903741891,100,0.0316
function_opt_3.csv,min,uniforme,0.05,-335.62205389196083,100,0.0317
function_opt_3.csv,min,uniforme,0.1,-418.6235950434668,100,0.0325
function_opt_3.csv,max,ponto_um,0.01,262.35792062498376,100,0.0325
function_opt_3.csv,max,ponto_um,0.05,372.7300549459285,100,0.032
function_opt_3.csv,max,ponto_um,0.1,444.86605255057384,100,0.0337
function_opt_3.csv,max,dois_pontos,0.01,256.40913445822906,100,0.0367
function_opt_3.csv,max,dois_pontos,0.05,346.08963703104405,100,0.0368
function_opt_3.csv,max,dois_pontos,0.1,419.6998919086139,100,0.0377
function_opt_3.csv,max,uniforme,0.01,254.3867854569652,100,0.0312
function_opt_3.csv,max,uniforme,0.05,363.20867288388126,100,0.0319
function_opt_3.csv,max,uniforme,0.1,420.3742491721103,100,0.0324
function_opt_4.csv,min,ponto_um,0.01,-441.92649952446135,100,0.0346
function_opt_4.csv,min,ponto_um,0.05,-516.6185195236199,100,0.0342
function_opt_4.csv,min,ponto_um,0.1,-600.864850777101,100,0.0346
function_opt_4.csv,min,dois_pontos,0.01,-416.3879599775066,100,0.0387
function_opt_4.csv,min,dois_pontos,0.05,-524.398122390737,100,0.0394
function_opt_4.csv,min,dois_pontos,0.1,-641.3297128863798,100,0.04
function_opt_4.csv,min,uniforme,0.01,-387.75677968016635,100,0.0341
function_opt_4.csv,min,uniforme,0.05,-557.0445686955584,100,0.0353
function_opt_4.csv,min,uniforme,0.1,-637.7119591964282,100,0.0356
function_opt_4.csv,max,ponto_um,0.01,400.92723779848313,100,0.0501
function_opt_4.csv,max,ponto_um,0.05,560.2244983839735,100,0.0482
function_opt_4.csv,max,ponto_um,0.1,672.8747922462785,100,0.0371
