Crossover,Mutação,Inicialização,Critério Parada,Valor Final,Tempo (s)
um_ponto,0.01,aleatorio,convergencia,260,0.001
um_ponto,0.01,heuristica,geracoes,260,0.0165
um_ponto,0.01,heuristica,convergencia,260,0.001
um_ponto,0.1,aleatorio,geracoes,260,0.0163
uniforme,0.3,aleatorio,geracoes,260,0.0166
um_ponto,0.1,aleatorio,convergencia,260,0.001
um_ponto,0.1,heuristica,geracoes,260,0.0164
um_ponto,0.1,heuristica,convergencia,260,0.001
um_ponto,0.3,aleatorio,geracoes,260,0.0172
um_ponto,0.3,aleatorio,convergencia,260,0.001
um_ponto,0.3,heuristica,convergencia,260,0.001
dois_pontos,0.01,aleatorio,geracoes,260,0.0192
dois_pontos,0.1,aleatorio,geracoes,260,0.0184
dois_pontos,0.01,aleatorio,convergencia,260,0.001
dois_pontos,0.01,heuristica,geracoes,260,0.0197
dois_pontos,0.01,heuristica,convergencia,260,0.002
dois_pontos,0.1,heuristica,geracoes,260,0.0191
dois_pontos,0.1,aleatorio,convergencia,260,0.0023
dois_pontos,0.1,heuristica,convergencia,260,0.0013
dois_pontos,0.3,aleatorio,geracoes,260,0.0181
uniforme,0.3,heuristica,geracoes,260,0.0163
dois_pontos,0.3,aleatorio,convergencia,260,0.0011
dois_pontos,0.3,heuristica,geracoes,260,0.0193
dois_pontos,0.3,heuristica,convergencia,260,0.0012
uniforme,0.01,aleatorio,geracoes,260,0.0163
uniforme,0.01,heuristica,geracoes,260,0.0164
uniforme,0.01,heuristica,convergencia,260,0.0
uniforme,0.1,aleatorio,geracoes,260,0.0166
uniforme,0.3,heuristica,convergencia,260,0.0
uniforme,0.1,aleatorio,convergencia,260,0.0014
uniforme,0.1,heuristica,geracoes,260,0.0164
uniforme,0.1,heuristica,convergencia,260,0.0
uniforme,0.3,aleatorio,convergencia,260,0.001
um_ponto,0.3,heuristica,geracoes,230,0.0156
um_ponto,0.01,aleatorio,geracoes,220,0.0162
uniforme,0.01,aleatorio,convergencia,220,0.001
